ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
1,Brisbane,Brisbane International,1/4/2026,ATP250,Outdoor,Hard,1st Round,3,Tiafoe F.,Vukic A.,30,87,1485,693,6,2,6,2,,,,,,,2,0,Completed,1.44,2.75,1.52,2.7,1.53,2.95,1.47,2.63,1.53,2.88
1,Brisbane,Brisbane International,1/4/2026,ATP250,Outdoor,Hard,1st Round,3,Tien L.,Ugo Carabelli C.,26,48,1540,1028,7,6,6,3,,,,,,,2,0,Completed,1.14,5.5,1.2,5.21,1.18,5.5,1.16,5.06,1.19,6
1,Brisbane,Brisbane International,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Korda S.,Vacherot V.,46,31,1090,1469,7,6,6,3,,,,,,,2,0,Completed,1.5,2.63,1.54,2.64,1.52,2.75,1.48,2.61,1.56,2.74
1,Brisbane,Brisbane International,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Michelsen A.,Duckworth J.,37,86,1300,694,6,7,7,6,6,3,,,,,2,1,Completed,1.73,2.1,1.73,2.22,1.8,2.2,1.71,2.11,1.75,2.28
1,Brisbane,Brisbane International,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Lehecka J.,Machac T.,19,35,2075,1360,6,4,6,7,6,2,,,,,2,1,Completed,1.5,2.63,1.52,2.71,1.57,2.75,1.49,2.56,1.54,2.76
1,Brisbane,Brisbane International,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Majchrzak K.,Altmaier D.,59,44,861,1123,7,6,6,0,,,,,,,2,0,Completed,1.91,1.91,,,1.95,1.91,1.91,1.84,2.02,1.94
1,Brisbane,Brisbane International,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Halys Q.,Popyrin A.,91,50,669,1000,5,7,6,3,6,4,,,,,2,1,Completed,2.5,1.53,2.49,1.6,2.5,1.57,2.4,1.55,2.6,1.61
1,Brisbane,Brisbane International,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Opelka R.,Sweeny D.,60,183,861,315,6,3,7,5,,,,,,,2,0,Completed,1.62,2.3,1.6,2.49,1.62,2.6,1.56,2.39,1.64,2.52
1,Brisbane,Brisbane International,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Medvedev D.,Fucsovics M.,13,54,2710,949,6,2,6,3,,,,,,,2,0,Completed,1.29,3.75,1.28,4.03,1.29,3.8,1.26,3.73,1.28,4.3
1,Brisbane,Brisbane International,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Collignon R.,Shapovalov D.,84,23,704,1665,6,4,6,2,,,,,,,2,0,Completed,2.1,1.73,2.03,1.86,2.2,1.78,2.06,1.74,2.14,1.86
1,Brisbane,Brisbane International,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Nakashima B.,Davidovich Fokina A.,33,14,1380,2585,7,6,6,4,,,,,,,2,0,Completed,2.5,1.53,2.4,1.63,2.5,1.65,2.35,1.57,2.48,1.66
1,Brisbane,Brisbane International,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Mpetshi G.,Paul T.,67,20,825,2050,7,6,3,6,7,6,,,,,2,1,Completed,2.75,1.44,2.73,1.51,2.75,1.55,2.64,1.47,2.84,1.52
1,Brisbane,Brisbane International,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Kovacevic A.,Kyrgios N.,58,670,877,50,6,3,6,4,,,,,,,2,0,Completed,1.62,2.3,1.6,2.47,1.65,2.5,1.6,2.29,1.59,2.66
1,Brisbane,Brisbane International,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Norrie C.,Humbert U.,28,36,1523,1355,1,6,7,6,7,5,,,,,2,1,Completed,2.2,1.67,2.21,1.74,2.2,1.8,2.1,1.72,2.3,1.75
1,Brisbane,Brisbane International,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Walton A.,111,77,546,732,6,3,6,2,,,,,,,2,0,Completed,1.73,2.1,1.79,2.13,1.76,2.1,1.73,2.08,1.8,2.22
1,Brisbane,Brisbane International,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Carreno Busta P.,47,92,1080,656,6,3,6,2,,,,,,,2,0,Completed,1.44,2.75,1.51,2.74,1.55,2.8,1.47,2.67,1.52,2.9
1,Brisbane,Brisbane International,1/7/2026,ATP250,Outdoor,Hard,2nd Round,3,Michelsen A.,Tien L.,37,26,1300,1540,6,4,6,2,,,,,,,2,0,Completed,2.38,1.57,2.57,1.56,2.54,1.58,2.45,1.54,2.68,1.58
1,Brisbane,Brisbane International,1/7/2026,ATP250,Outdoor,Hard,2nd Round,3,Medvedev D.,Tiafoe F.,13,30,2710,1485,6,3,6,2,,,,,,,2,0,Completed,1.3,3.5,1.35,3.44,1.33,3.55,1.31,3.42,1.38,3.55
1,Brisbane,Brisbane International,1/7/2026,ATP250,Outdoor,Hard,2nd Round,3,Korda S.,Lehecka J.,46,19,1090,2075,6,3,1,2,,,,,,,1,0,Retired,2.2,1.67,2.51,1.58,2.35,1.71,2.25,1.62,2.52,1.63
1,Brisbane,Brisbane International,1/7/2026,ATP250,Outdoor,Hard,2nd Round,3,Majchrzak K.,Opelka R.,59,60,861,861,6,7,7,6,7,6,,,,,2,1,Completed,2,1.8,2.08,1.82,2.04,1.83,1.99,1.8,2.12,1.87
1,Brisbane,Brisbane International,1/8/2026,ATP250,Outdoor,Hard,2nd Round,3,Kovacevic A.,Norrie C.,58,28,877,1523,7,6,4,6,6,4,,,,,2,1,Completed,2.63,1.5,2.69,1.52,2.75,1.5,2.64,1.48,2.84,1.54
1,Brisbane,Brisbane International,1/8/2026,ATP250,Outdoor,Hard,2nd Round,3,Nakashima B.,Halys Q.,33,91,1380,669,6,2,6,4,,,,,,,2,0,Completed,1.44,2.75,1.44,3,1.45,2.88,1.43,2.77,1.48,3
1,Brisbane,Brisbane International,1/8/2026,ATP250,Outdoor,Hard,2nd Round,3,Mpetshi G.,Hijikata R.,67,111,825,546,4,6,7,6,7,6,,,,,2,1,Completed,1.57,2.38,1.65,2.35,1.65,2.38,1.6,2.29,1.68,2.42
1,Brisbane,Brisbane International,1/8/2026,ATP250,Outdoor,Hard,2nd Round,3,Collignon R.,Dimitrov G.,84,47,704,1080,7,6,6,3,,,,,,,2,0,Completed,2.75,1.44,2.76,1.5,2.75,1.53,2.63,1.48,2.84,1.53
1,Brisbane,Brisbane International,1/9/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Kovacevic A.,Mpetshi G.,58,67,877,825,7,6,4,6,6,3,,,,,2,1,Completed,2.3,1.62,2.25,1.72,2.38,1.68,2.25,1.62,2.32,1.73
1,Brisbane,Brisbane International,1/9/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Nakashima B.,Collignon R.,33,84,1380,704,6,3,6,3,,,,,,,2,0,Completed,1.62,2.3,1.68,2.32,1.83,2.3,1.66,2.18,1.75,2.3
1,Brisbane,Brisbane International,1/9/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Michelsen A.,Korda S.,37,46,1300,1090,6,3,7,6,,,,,,,2,0,Completed,2.75,1.44,2.82,1.49,2.75,1.5,2.65,1.46,2.88,1.52
1,Brisbane,Brisbane International,1/9/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Medvedev D.,Majchrzak K.,13,59,2710,861,6,7,6,3,6,2,,,,,2,1,Completed,1.14,5.5,1.17,5.95,1.18,6.5,1.15,5.38,1.17,6.8
1,Brisbane,Brisbane International,1/10/2026,ATP250,Outdoor,Hard,Semifinals,3,Nakashima B.,Kovacevic A.,33,58,1380,877,7,6,6,4,,,,,,,2,0,Completed,1.36,3.2,1.37,3.38,1.4,3.2,1.36,3.04,1.4,3.4
1,Brisbane,Brisbane International,1/10/2026,ATP250,Outdoor,Hard,Semifinals,3,Medvedev D.,Michelsen A.,13,37,2710,1300,6,4,6,2,,,,,,,2,0,Completed,1.25,4,,,1.29,4,1.26,3.77,1.32,4
1,Brisbane,Brisbane International,1/11/2026,ATP250,Outdoor,Hard,The Final,3,Medvedev D.,Nakashima B.,13,33,2710,1380,6,2,7,6,,,,,,,2,0,Completed,1.29,3.75,1.29,4.01,1.3,3.75,1.28,3.6,1.31,4.2
2,Hong Kong,Hong Kong Tennis Open,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Borges N.,Dzumhur D.,45,65,1120,837,6,4,6,3,,,,,,,2,0,Completed,1.44,2.75,1.47,2.88,1.49,2.8,1.44,2.69,1.51,2.88
2,Hong Kong,Hong Kong Tennis Open,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Cilic M.,Mannarino A.,70,68,765,817,6,3,6,2,,,,,,,2,0,Completed,1.8,2,1.77,2.16,1.81,2.06,1.76,2.02,1.83,2.16
2,Hong Kong,Hong Kong Tennis Open,1/5/2026,ATP250,Outdoor,Hard,1st Round,3,Wu Y.,Marozsan F.,179,53,322,975,6,4,6,2,,,,,,,2,0,Completed,2,1.8,2.23,1.72,2.2,1.84,2.08,1.72,2.32,1.74
2,Hong Kong,Hong Kong Tennis Open,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Etcheverry T.,Royer V.,57,56,895,924,6,4,7,5,,,,,,,2,0,Completed,1.8,2,1.95,1.93,1.91,2.1,1.84,1.93,2.02,1.96
2,Hong Kong,Hong Kong Tennis Open,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Sonego L.,Sakamoto R.,39,200,1240,292,6,2,7,6,,,,,,,2,0,Completed,1.44,2.75,1.51,2.74,1.5,2.75,1.46,2.63,1.52,2.84
2,Hong Kong,Hong Kong Tennis Open,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Muller A.,Kecmanovic M.,52,51,980,1000,7,5,6,4,,,,,,,2,0,Completed,2.3,1.62,2.26,1.7,2.3,1.73,2.23,1.62,2.26,1.75
2,Hong Kong,Hong Kong Tennis Open,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Wong C.,Navone M.,150,72,406,760,6,3,7,5,,,,,,,2,0,Completed,1.73,2.1,1.84,2.06,1.82,2.2,1.76,2.02,1.94,2.06
2,Hong Kong,Hong Kong Tennis Open,1/6/2026,ATP250,Outdoor,Hard,1st Round,3,Diallo G.,De Jong J.,40,71,1215,763,6,4,7,6,,,,,,,2,0,Completed,1.44,2.75,1.43,3.05,1.45,2.9,1.41,2.8,1.46,3.05
